State Name,Year,Dist Code,State Code,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha),subdivision,YEAR,JUN,JUL,AUG,SEP
himachal pradesh,0.8431372549019613,0.6818744142455482,0.9444444444444444,0.020969238305008873,0.009509295900843723,0.2650909858819755,0.0957552182163188,0.017822108791711106,0.18706830980754743,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004503886990542958,0.0039218614653962185,0.028870427527068865,0.40723508157502064,0.15408613581559366,0.2915769777628855,0.019557410217501264,0.012400215749730313,0.14322988918148646,0.0700451612903226,0.06214576271186441,0.2500052292510961,0.006262225969645869,0.005581593194122198,0.025087049360140362,0.01542698160345219,0.01229174939959532,0.000316283041694012,0.004945598417408507,0.01127096933382479,0.00011302680785975504,0.0056559114875787495,0.0033438228951190533,0.08123920981467617,0.04189632545931758,0.06180273067783641,0.031477412569248395,0.013497921722877787,0.007260495668454289,0.1299587970860677,0.035422343324250684,0.06134969325153374,0.0016133415903328572,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.06801996136509979,0.17411764705882352,0.06841191138037701,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.005937479580036379,0.004570146195887094,0.3165630746834781,0.004479319794928595,0.0024271419190332417,0.00015021785686095482,0.023280039474849544,0.0033999317587291955,0.05026592551196643,0.005718941178890308,0.009423738397022098,0.0007784445121757703,0.017284998192932007,0.009646736509038991,0.008449133400550885,0.06376500266057036,0.09319727891156462,0.004818071474237216,himachal pradesh,0.8431372549019613,0.04011312750412444,0.12297162193339999,0.14795331251027455,0.31784217240750867
himachal pradesh,0.8627450980392197,0.6818744142455482,0.9444444444444444,0.020786770168000443,0.009875606660195626,0.2777591535259687,0.09482542694497156,0.02904898674386713,0.30110735401101707,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.0044994757398176466,0.0039257444965500755,0.03627299549947653,0.3956505654141642,0.1858308916949724,0.35402405457259456,0.019477322542572922,0.012379719525350594,0.1453582545237918,0.07054193548387097,0.08316949152542372,0.37998980356700446,0.006274030354131535,0.0057223511214230475,0.052376746729377935,0.01542698160345219,0.01229174939959532,0.000316283041694012,0.01841246290801187,0.046154619422012516,0.16186614364318663,0.005572817783059963,0.0033174156067074514,0.087631146449688,0.04235564304461942,0.06597124330420075,0.21890262856461554,0.013490668675202946,0.008409681265328142,0.22118921667231597,0.035422343324250684,0.06134969325153374,0.0016133415903328572,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.06522054088860268,0.17243697478991596,0.0511011333070672,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.005931856966797709,0.004723506806487332,0.562036709065004,0.010315873487720555,0.003951387044186117,0.08399701858522639,0.022581638290604056,0.0032918830799560216,0.05665933276214948,0.005718941178890308,0.00943316213541912,0.07862289572975281,0.1475447445748676,0.03862553298219212,0.09748610117555612,0.07689048304132755,0.08698979591836735,0.0088941599414419,himachal pradesh,0.8627450980392197,0.09809097336790007,0.20018457279089436,0.280672913584306,0.34281027884089665
himachal pradesh,0.882352941176471,0.6818744142455482,0.9444444444444444,0.020694319645249502,0.009744194728589561,0.2737871258737786,0.09435521821631877,0.027559500228554013,0.28461460492094315,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004512709491993581,0.003933510558857791,0.03600872004749798,0.4072893416038771,0.1776080587030363,0.3406652041225991,0.01952537514752993,0.012758899676375406,0.1912175414130884,0.07029354838709678,0.09505762711864406,0.47292402977979636,0.006268128161888702,0.005744006187161641,0.05028524506797527,0.01542698160345219,0.01229174939959532,0.000316283041694012,0.005776458951533135,0.02169661596761272,0.06234502208140159,0.005600515684566225,0.0033372210730161526,0.09854399339984415,0.04229002624671916,0.06585041685126265,0.2098785145820825,0.013867827154294642,0.008839889206721943,0.23323544284102843,0.035422343324250684,0.06134969325153374,0.0016133415903328572,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.06575660012878298,0.17327731092436974,0.04951050895889257,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.005926234353559038,0.0048023779776531685,0.5958296385115079,0.004479319794928595,0.0024271419190332417,0.00015021785686095482,0.023202439343266712,0.0030685824771581297,0.0366067164361016,0.005724654406841247,0.00943316213541912,0.07862289572975281,0.017284998192932007,0.009646736509038991,0.008449133400550885,0.06060188013637888,0.09124149659863945,0.004818071474237216,himachal pradesh,0.882352941176471,0.10836672165920339,0.11835730216103975,0.33097703983779936,0.18042646254784037
himachal pradesh,0.9019607843137294,0.6818744142455482,0.9444444444444444,0.02077460562553321,0.00996020309116703,0.2805425957998601,0.09567286527514234,0.03554555843364314,0.37477970986252346,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.005487595902287404,0.004360643985782132,0.09486600405183084,0.3879320763093315,0.17543184587860092,0.3507268284409663,0.019765638172314956,0.012758899676375406,0.15530795632247715,0.06961612903225808,0.10891525423728812,0.5584564512579201,0.00616779089376054,0.005635730858468678,0.060358894004685616,0.015457804743519028,0.01229174939959532,0.000316283041694012,0.02124134520276954,0.06531526728951466,0.1817126338620889,0.005556199042156205,0.003307512873553101,0.06580512516069327,0.04150262467191601,0.0660316565306698,0.41352733528357244,0.013737272296147515,0.008238776740664852,0.17027500097242212,0.035422343324250684,0.06134969325153374,0.0016133415903328572,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.06510141661300707,0.17394957983193274,0.06713586733504473,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.005971215259468404,0.004749797196875944,0.5988609949816169,0.01023972505120677,0.0038931356381293196,0.08458572236626447,0.02295023891562251,0.0033134928157106565,0.05624548025939814,0.0057132279509393685,0.009423738397022098,0.0007784445121757703,0.017284998192932007,0.009646736509038991,0.008449133400550885,0.06225734613034825,0.0913265306122449,0.004818071474237216,himachal pradesh,0.9019607843137294,0.01937308508131039,0.14473583019303235,0.3084004602991945,0.26480772735556773
himachal pradesh,0.9215686274509807,0.6818744142455482,0.9444444444444444,0.02021990248902758,0.009602105577540508,0.2996991018076403,0.11308387096774195,0.017826908426024687,0.15907383661004063,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004733272028259151,0.0040383524000119474,0.06384425378782731,0.4096225228447053,0.17235149220836468,0.32858500753576,0.019108919237902547,0.01206202804746494,0.14160128351803086,0.0690741935483871,0.06810169491525424,0.29648417186983217,0.006185497470489039,0.005651972157772623,0.06325235590364106,0.015519451023652703,0.012328624647794106,0.04248724983988171,0.004945598417408507,0.01127096933382479,0.00011302680785975504,0.00556727820275871,0.003310813784604551,0.049435691041117835,0.038681102362204726,0.0639171936042531,0.21795731616441624,0.013389126007755183,0.008380214967972402,0.17686302184337893,0.035422343324250684,0.06134969325153374,0.0016133415903328572,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.06605441081777204,0.1726050420168067,0.027769022394845657,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.005920611740320368,0.004727888538218768,0.4995448965710136,0.004479319794928595,0.0024271419190332417,0.00015021785686095482,0.0221936376326899,0.0024851196117829924,0.008102986436941214,0.0057132279509393685,0.009423738397022098,0.0007784445121757703,0.017284998192932007,0.009646736509038991,0.008449133400550885,0.05019609388857138,0.08503401360544217,0.004818071474237216,himachal pradesh,0.9215686274509807,0.18651897242517085,0.15058063523802198,0.24746561455422214,0.12903225806451615
himachal pradesh,0.9411764705882391,0.6818744142455482,0.9444444444444444,0.020042300169006037,0.010378257298588815,0.3251544242682379,0.09445085388994309,0.03462242876733201,0.3696982748817721,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004702393273181972,0.0040150542130888015,0.06224622803558723,0.40585145083918067,0.1465193040682449,0.27874434043952695,0.01909290170291688,0.012185005393743259,0.1480897108699626,0.06857741935483871,0.11026779661016947,0.5830053707199309,0.006132377740303542,0.005603248259860789,0.060961610839292434,0.01544239317348561,0.01229174939959532,0.000316283041694012,0.020084075173095947,0.07204403598180806,0.21245117847401215,0.005561738622457458,0.003307512873553101,0.049435691041117835,0.03933727034120735,0.06434008618953645,0.32416231269401263,0.013526933913577146,0.008692557719943244,0.19110344904230314,0.035422343324250684,0.06134969325153374,0.0016133415903328572,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.06361236316806179,0.1707563025210084,0.04115773731215501,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.0059824604859457465,0.004784851050727427,0.45740291624513507,0.009957527904126268,0.004033909869433248,0.10351182037003304,0.022504038159021227,0.003282278752953962,0.11482520058394374,0.0057132279509393685,0.009423738397022098,0.0007784445121757703,0.017284998192932007,0.009646736509038991,0.008449133400550885,0.05992195660314145,0.09192176870748298,0.004818071474237216,himachal pradesh,0.9411764705882391,0.04133867546547255,0.1433515342613243,0.14707655213984328,0.163659558957536
himachal pradesh,0.9607843137254903,0.6818744142455482,0.9444444444444444,0.01985496621501072,0.010238632121257373,0.3107186003392386,0.09369373814041747,0.03265351211336279,0.326745860583852,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.0044465407311139096,0.0038985632784730726,0.032043001980592914,0.39449753980096436,0.2049376409884098,0.40660890110695336,0.018932726353060193,0.01216450916936354,0.1525540790284256,0.0658225806451613,0.10343389830508475,0.5309876926966896,0.006114671163575043,0.0056086620262954376,0.06659915749194685,0.015488627883585866,0.012304041148994915,0.016130435126394612,0.019500494559841743,0.0756056622912967,0.20510534017759097,0.005561738622457458,0.003310813784604551,0.06580512516069327,0.03323490813648294,0.060654879374924496,0.19623003453370977,0.013294836387982258,0.008503973416866508,0.18219911870773436,0.035422343324250684,0.06134969325153374,0.0016133415903328572,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.06432710882163552,0.17210084033613443,0.05323850708299876,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.005937479580036379,0.004784851050727427,0.8258081695078786,0.00902135006698619,0.0038397385159105886,0.09548012221724834,0.02302783904720534,0.0033014874069580815,0.07651883597663867,0.0057132279509393685,0.009423738397022098,0.0007784445121757703,0.017284998192932007,0.009646736509038991,0.008449133400550885,0.05826649060917208,0.0923469387755102,0.010151676596217813,himachal pradesh,0.9607843137254903,0.09686542540655196,0.18149657771283548,0.19453120718943506,0.11773282303626756
himachal pradesh,0.9803921568627487,0.6818744142455482,0.9444444444444444,0.019667632261015398,0.009326961845740313,0.28866995566745196,0.08923339658444025,0.01820181319518513,0.20563243057171968,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004477419486191089,0.003914095403088503,0.07945680993106452,0.36975496664241403,0.1407407887572277,0.2928704932938444,0.0189807789580172,0.012246494066882416,0.19466484338507573,0.06762903225806452,0.06674915254237287,0.296046953093739,0.00616779089376054,0.005522041763341068,0.024061577474232744,0.01542698160345219,0.01229174939959532,0.03545880808735738,0.01527695351137488,0.021798054691617143,0.05439901143524508,0.00556727820275871,0.003310813784604551,0.10700044306601683,0.041699475065616796,0.06560876394538645,0.25843755189637335,0.01241721761932658,0.006883327062300819,0.11507615454287827,0.035422343324250684,0.06134969325153374,0.0016133415903328572,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.06206374758531872,0.1699159663865546,0.03517982541645252,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.0059149891270816966,0.004780469318995992,0.7594146251663184,0.004479319794928595,0.0024271419190332417,0.00015021785686095482,0.023183039310371006,0.003551199909011638,0.08357382942668248,0.005730367634792187,0.009423738397022098,0.011157445193015314,0.18624585552884237,0.05028843742162026,0.12661871314065556,0.05868035710766442,0.08503401360544217,0.00977586702122731,himachal pradesh,0.9803921568627487,0.07716238510487862,0.14312081827270626,0.23946517617403693,0.09549845088390742
himachal pradesh,1.0,0.6818744142455482,0.9444444444444444,0.01985496621501072,0.010248488016127828,0.30184665947979383,0.0936910815939279,0.03272230687185738,0.3239478676858101,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004442129480388598,0.003906329340780787,0.09470071292280223,0.39449753980096436,0.20567635543340163,0.4034265776847241,0.018916708818074526,0.012205501618122979,0.210466412580643,0.0658,0.10412203389830509,0.5350371713609813,0.006102866779089376,0.005619489559164734,0.079905802135525,0.015473216313552448,0.01231633289839451,0.047583202207655634,0.018827893175074186,0.07545913968995697,0.21244078000768904,0.005556199042156205,0.0033141146956560015,0.12169495668647733,0.03323490813648294,0.06071529260139354,0.3346714613592911,0.013287583340307418,0.008574692530520284,0.1939186110478265,0.035422343324250684,0.06134969325153374,0.0016133415903328572,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.06432710882163552,0.17210084033613443,0.05345383951564859,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.005937479580036379,0.004784851050727427,0.8396415824219896,0.004479319794928595,0.0024271419190332417,0.00015021785686095482,0.02302783904720534,0.003282278752953962,0.08069365435190645,0.0057132279509393685,0.009423738397022098,0.0007784445121757703,0.017284998192932007,0.009646736509038991,0.008449133400550885,0.05873948089316333,0.09005102040816326,0.004818071474237216,himachal pradesh,1.0,0.11656846570822531,0.16080904406675378,0.21447750561674614,0.1742299981775105
jharkhand,0.0,1.0,0.7777777777777777,0.6115967016248585,0.08629931058513154,0.08654047832843391,0.016488298545224545,0.0013172329727258875,0.05276962980287906,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004411250725311418,0.003883031153857642,0.0003172574453524051,0.3938825928072576,0.08498068296730366,0.14186264631031,0.2408770302928118,0.06304297015462064,0.13931694636438102,0.09743548387096775,0.040655367231638415,0.06300608574823222,0.034449128724002256,0.009528228924980668,0.015101719106493374,0.09377940365335323,0.027881784888082045,0.06952217539476077,0.16518298714144414,0.0,0.0,0.007635388181892957,0.004016108445931077,0.19450870963024722,0.11379046369203849,0.08759917838012003,0.2192528625507254,0.019462344594154787,0.008692557719943244,0.08204603168429066,0.035481380563124436,0.0,0.001344451325277381,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.05956213779781067,0.1680672268907563,0.0008861416981474186,0.014042773346950569,0.02855221503622133,0.03470680136925522,0.005622613238670814,0.004381731731435373,0.0007122548097060607,0.06486801616355761,0.0,0.0,0.03973773404804179,0.010616783140193686,0.27302001882077925,0.0057132279509393685,0.009423738397022098,0.0007784445121757703,0.04159922898432303,0.0854861633642672,0.08675851813465667,0.10706332157426934,0.10742630385487528,0.0,jharkhand,0.0,0.21668630685835494,0.12727832038760284,0.2690558386760919,0.15983233096409696
jharkhand,0.019607843137258385,1.0,0.7777777777777777,0.6732952610186426,0.23998282684984695,0.22594413462916196,0.016169512966476916,0.0023829295545736194,0.133112016022224,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004411250725311418,0.003883031153857642,0.0003172574453524051,0.4533651494411628,0.13091978461724618,0.19831473732747534,0.2819353116394088,0.1128658755843222,0.17829148586166982,0.09991935483870969,0.0834463276836158,0.2507819813191577,0.03326869027543564,0.017423304975509153,0.05371999595965782,0.13644376669586752,0.06207333446795636,0.1670570126539574,0.18594625783053087,0.0,0.0,0.008734071608308027,0.0049678711324325515,0.28663370226400187,0.13763123359580054,0.12092714164887836,0.428390811449919,0.020223914600013014,0.011187370896062549,0.21777184754644008,0.035481380563124436,0.0,0.001344451325277381,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.05956213779781067,0.1680672268907563,0.0008861416981474186,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.005622613238670814,0.004381731731435373,0.0007122548097060607,0.0670628828630726,0.0,0.0,0.036666062172888036,0.006699018083936763,0.18571134510188772,0.0057132279509393685,0.009423738397022098,0.0007784445121757703,0.043039645500400694,0.08514852758645083,0.08716689291568329,0.10528960800930215,0.1130952380952381,0.0,jharkhand,0.019607843137258385,0.065095451331605,0.21133584557409824,0.47454655049591765,0.4897029342081284
jharkhand,0.039215686274509665,1.0,0.7777777777777777,0.6698526955004168,0.2635260957216457,0.2514202530460538,0.013583807716635043,0.0030806541723805174,0.2354603923251084,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004411250725311418,0.003883031153857642,0.0003172574453524051,0.4391218918663394,0.11832741290049352,0.1847956652551522,0.24877901421907492,0.06813286587558433,0.11556048984897002,0.08558064516129034,0.06466101694915254,0.21663937992486865,0.02555649241146712,0.013146429492137152,0.0484044375798028,0.1229843288666818,0.05836532339907844,0.1737748644595382,0.18320145070886915,0.0,0.0,0.007810808224765951,0.00400510540909291,0.12397609189582054,0.16070647419072615,0.11428168673728303,0.28918256026366557,0.021493197943110064,0.009772988622987037,0.12995657440696143,0.0366030881017257,0.0,0.0008066707951664286,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.05956213779781067,0.1680672268907563,0.0008861416981474186,0.012787434517450442,0.02767581425158772,0.0006453677386045536,0.005622613238670814,0.004381731731435373,0.0007122548097060607,0.07476731291034978,0.0,0.0,0.03964073388356325,0.011000956220276081,0.3077791751418857,0.0057132279509393685,0.009423738397022098,0.0007784445121757703,0.04243467056364808,0.08793000327989041,0.08929325815482192,0.10977316174296922,0.11096938775510204,0.0,jharkhand,0.039215686274509665,0.2540183832194203,0.26393909097900486,0.4392569455860596,0.17732823036267545
jharkhand,0.05882352941176805,1.0,0.7777777777777777,0.6855003519607621,0.20345852310908685,0.18955800017222774,0.01674509803921569,0.002962440956879476,0.21911223371751967,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004411250725311418,0.003883031153857642,0.0003172574453524051,0.43706453243886495,0.10095288718334329,0.1577765568887098,0.2429860057325915,0.05744066882416398,0.09652922102099257,0.07914516129032259,0.06110169491525423,0.22602780667414216,0.02555649241146712,0.013056200051559684,0.04792091957005816,0.1229843288666818,0.05836532339907844,0.1737748644595382,0.21103692713485,0.0,0.0,0.007192221757792761,0.004082126666960081,0.1566844038579482,0.15436351706036747,0.11246928994321159,0.32565196038772004,0.024285621297923582,0.011413279175789888,0.16322660769158107,0.03559945504087194,0.0,0.0010755610602219048,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.05956213779781067,0.1680672268907563,0.0008861416981474186,0.015383219893704942,0.030074384820058652,0.29504061783204844,0.005622613238670814,0.004381731731435373,0.0007122548097060607,0.07957511615690649,0.0,0.0,0.04190407105472918,0.009012060170266182,0.21035094704270912,0.0057132279509393685,0.009423738397022098,0.0007784445121757703,0.04151280399335837,0.08902330008424816,0.08980020615885498,0.10524033818805306,0.10459183673469387,0.0,jharkhand,0.05882352941176805,0.11996229083195852,0.22325617165269548,0.3497177927557675,0.38217605248769826
jharkhand,0.07843137254901933,1.0,0.7777777777777777,0.6812265427072757,0.20843985664152917,0.19443075714789537,0.01925110689437065,0.003403296256793133,0.16395329041385412,0.008032872987919795,0.005164981425932179,0.0003788488024761558,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.003795066413662239,0.0038727359389895137,0.0003719967602463972,0.004411250725311418,0.003883031153857642,0.0003172574453524051,0.44524875345804915,0.10759371137673832,0.16470397472782564,0.24269235092452088,0.07595559151384393,0.13231012936724457,0.11260215053763442,0.07454802259887004,0.13510564907138936,0.044197582911748176,0.02779066769786028,0.07018491079950688,0.12090376691217027,0.05017082379934824,0.1419815659700533,0.20119518628420707,0.0,0.0,0.007487666040526225,0.00400510540909291,0.18153757003389565,0.16519028871391078,0.12052438680575137,0.33692367524970585,0.024285621297923582,0.011413279175789888,0.16322660769158107,0.035658492279745685,0.0,0.0008066707951664286,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.05956213779781067,0.1680672268907563,0.0008861416981474186,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.005622613238670814,0.004381731731435373,0.0007122548097060607,0.08645087204212189,0.0,0.0,0.04119273651521989,0.010232610060111292,0.2625187222213696,0.0057132279509393685,0.009423738397022098,0.0007784445121757703,0.03897767092506167,0.08934485796788282,0.08885671959579348,0.10661989318302756,0.10870181405895692,0.004906402784598231,jharkhand,0.07843137254901933,0.16898420928588262,0.22356379297085285,0.2570003835826621,0.6929105157645344
jharkhand,0.09803921568627771,1.0,0.7777777777777777,0.7047365484489396,0.1846871500037333,0.1753560056899452,0.02098228969006958,0.005788003453705113,0.31881939330024484,0.012906149267257803,0.006249627525377936,0.1058730863399865,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.006097406704617331,0.004686010486177312,0.10395821461845814,0.013667525163923208,0.008076704800023895,0.16116836852624855,0.3736255153675089,0.030080984606874625,0.0601122354069832,0.21017675490361382,0.04030924128011507,0.10392163499617518,0.11598924731182797,0.07767231638418078,0.14701770511990192,0.048466835300730746,0.022052075277133286,0.04662107245295244,0.08615067648681093,0.05189166871529158,0.26476000706365466,0.18166007253544347,0.04361865132190193,0.00882588666974207,0.007820040858601373,0.004351701069495181,0.20589583365162786,0.17421259842519685,0.14317934673164448,0.42002351925896586,0.023874615263015965,0.01108914990487675,0.15491656618304875,0.03554041780199819,0.0,0.001344451325277381,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.05956213779781067,0.1680672268907563,0.0008861416981474186,0.012766157588136881,0.02767581425158772,0.0006453677386045536,0.005622613238670814,0.004381731731435373,0.0007122548097060607,0.08403203935286044,0.0,0.0,0.039414400166446664,0.008447805958895164,0.21541711920498918,0.0057132279509393685,0.009517975780992319,0.0007784445121757703,0.035059738001330415,0.08950563690970012,0.0870824015816778,0.11356693797914905,0.11267006802721088,0.004858222069855859,jharkhand,0.09803921568627771,0.2509073768559981,0.37722064139044836,0.5503863225382213,0.42974302897758343
jharkhand,0.117647058823529,1.0,0.7777777777777777,0.625395347630185,0.16655504119067174,0.16189687706909942,0.025764073371284002,0.004758748539793793,0.24641474285702517,0.010161584329718538,0.005819212406550255,0.15690843993622022,0.006651317472499361,0.010656567519601935,0.000291572314307533,0.0048007590132827325,0.004363282491261519,0.1540705181858507,0.01185891236654553,0.007681929966048369,0.17232155401761234,0.3833923205616735,0.05200948997847902,0.07872624498289703,0.21527567020738492,0.03822545846817692,0.08497214305539573,0.12065591397849462,0.05991525423728812,0.10224378954646417,0.05300168634064082,0.023910801753029134,0.04959661051826791,0.09778641186204211,0.06086464577699615,0.22857406426344273,0.23879821958456976,0.027801724356767817,0.004094584492732726,0.007432270237513701,0.00423066766427534,0.16802187392916618,0.133584864391951,0.11035482701679489,0.2972712975619173,0.02369328907114496,0.010568578651592012,0.14235426170935137,0.03571752951861944,0.0,0.0010755610602219048,0.02009601429049905,0.00988250796090919,0.00045266882220853594,0.05956213779781067,0.1680672268907563,0.0008861416981474186,0.012851265305391126,0.027768066965759678,0.054426012622317346,0.005622613238670814,0.004381731731435373,0.0007122548097060607,0.08488311011389686,0.0,0.0,0.03663372878472852,0.007511384076194326,0.22699442629275496,0.0057132279509393685,0.010114812546137051,0.0007784445121757703,0.03675942949030207,0.10039037127073243,0.09744667188635352,0.11755779350032519,0.10870181405895692,0.004922463022845688,jharkhand,0.117647058823529,0.0681121847749234,0.18449588556486962,0.36429393391418713,0.31820667031164573
